frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp,x_gt,z_gt
1,-0.01860097112684342,1.5528729684689937,-0.01860097112684342,1.5528729684689937,-0.45272446172803044,1.3377400917912639,-0.45272446172803044,1.3377400917912639,0.005542524,1.528975
2,-0.04377824178382879,3.0991475423476222,-0.04125814159214207,3.104259357263377,-0.8212683854488653,2.6952107485239836,-0.8734929190015661,2.6837882409186298,0.005664279,3.052409
3,-0.06861533791670713,4.63505288452539,-0.06508227763948475,4.6485311321254486,-1.074650513995529,4.096510222171085,-1.2153792403173873,4.0583341517171245,0.003267206,4.566315
4,-0.09985722211488038,6.163943132111978,-0.09467864230990033,6.184997706285506,-1.2792121939843637,5.489369240837923,-1.500626451301399,5.430875742455992,-0.006648871,6.079413
5,-0.13300553339009447,7.7107991326673115,-0.1264976097031589,7.738012351401802,-1.4651933170606184,6.921149767451981,-1.7521614812575028,6.846036255070237,-0.01843176,7.615299
6,-0.16829850556990703,9.21080601046669,-0.16091248498454885,9.242525828668708,-1.673661310489857,8.321320950227143,-2.0166627658745413,8.23535932434268,-0.03171614,9.099118
7,-0.2060589107681305,10.731359924356088,-0.19768617347745482,10.766366724009467,-1.8993624685687864,9.749166674167505,-2.292498727719143,9.65748873606084,-0.04480997,10.59934
8,-0.2443987052712954,12.24864178681628,-0.23359529369531246,12.290539946562758,-2.078779036094345,11.196243193976466,-2.5406313255003163,11.087949231450306,-0.06193958,12.09423
9,-0.2826309396722292,13.759749602544648,-0.27002530720691487,13.809896364063507,-2.2176905925040002,12.662087014091881,-2.740432108956328,12.534547365222156,-0.08195167,13.58737
10,-0.3207318514856081,15.27318511756477,-0.3048389548551302,15.330001696046331,-2.347258891011403,14.125011662218883,-2.89293482645916,13.984052542985507,-0.1077803,15.07594
11,-0.35080620659049766,16.7844525134697,-0.332518735602456,16.84718219001241,-2.4534052395441117,15.62074642659475,-2.9949506181995837,15.46570903430706,-0.1383473,16.56039
12,-0.34691216166760164,18.299847712057325,-0.3151692315155495,18.365721243848924,-2.5499200633551555,17.11489215626001,-3.0830134212409117,16.943510643432976,-0.1727573,18.0428
13,-0.3401614867813436,19.8131125370617,-0.3068205629305446,19.881516131438865,-2.6179812578565507,18.604596525101627,-3.1836185972794406,18.41509816335299,-0.2058484,19.51642
14,-0.33330261494984964,21.32883344471427,-0.3080653317303818,21.399815440476846,-2.6933605699878043,20.092476764314366,-3.334621259981754,19.88366840761329,-0.2386867,20.98968
15,-0.3282678063184208,22.836450162595696,-0.3174519150351034,22.907121338732864,-2.772001543236254,21.51882381149385,-3.4863491712620656,21.26435720650208,-0.2678747,22.45164
16,-0.32307854427665933,24.3416115179762,-0.33206828996957627,24.41118903787478,-2.8543403686620503,22.917005040144943,-3.6142134574849463,22.633476984885633,-0.2977989,23.90871
17,-0.31684075321360905,25.839769663042855,-0.3472720643244982,25.907345892130138,-2.9474030403189273,24.304077869730982,-3.7233405447522854,24.00377714427367,-0.3286901,25.36099
18,-0.31671313634839965,27.331138878534457,-0.36785493148742565,27.39832572843028,-3.057351083754092,25.65033659242762,-3.814717157807932,25.367373038149996,-0.3584,26.80201
19,-0.3508676430460437,28.818167963545026,-0.3927016474919441,28.88730730315525,-3.1724668802956684,26.958908579358244,-3.90132049724646,26.695511912974077,-0.3881643,28.23509
20,-0.38560262683920477,30.290618673545293,-0.4186984818468641,30.361869790152312,-3.271291620148422,28.229162050111285,-3.977843701137764,27.99637380136153,-0.4156875,29.6606
21,-0.41808832392397927,31.752806683716482,-0.44390756095926553,31.83005796147627,-3.3370826430822484,29.481932877534536,-4.062718213611197,29.301487210874583,-0.4428034,31.08204
22,-0.44979962166932874,33.21017934242496,-0.47069047536847247,33.29228348957781,-3.421523796857928,30.75250399602346,-4.187285866145469,30.577962389961243,-0.4678629,32.49337
23,-0.48007155859327155,34.65867891373249,-0.49704733261052003,34.7471600514017,-3.53599317127786,32.001240118229234,-4.335240787184168,31.83252300589616,-0.4937117,33.88789
24,-0.510685655468169,36.10138913767563,-0.5220105525121248,36.1948492653552,-3.661513807091063,33.23591524434924,-4.4758034517657475,33.090706926164025,-0.523018,35.27199
25,-0.537340722062798,37.53440570842337,-0.5448707140116317,37.63619027429662,-3.8073863995628243,34.45588287168895,-4.620964335010899,34.34632378271416,-0.5548668,36.63973
26,-0.558973626792894,38.96146565219595,-0.5644192136199746,39.07413511271276,-3.960609071507336,35.69281140602125,-4.760630064174109,35.60906673962983,-0.5831612,37.99599
27,-0.5788381548588795,40.38434793409073,-0.5840047825509213,40.50504693615207,-4.111163897724163,36.942919198403175,-4.87631049528024,36.87862574953231,-0.6110062,39.33019
28,-0.5968642539334255,41.79316298010101,-0.6016877277478208,41.91590380692,-4.255296635163679,38.1877572342574,-4.98342308854645,38.148960360988525,-0.635159,40.65401
29,-0.610427345503325,43.19155728738965,-0.6159385861115806,43.31802241631045,-4.359952265427371,39.44982582513746,-5.070383785221663,39.42225757979798,-0.6559744,41.95719
30,-0.6215425930787669,44.580745272007086,-0.6286074387079961,44.7129575033069,-4.431318504465893,40.724711960234956,-5.141643239643971,40.69326839259389,-0.6731874,43.23955
31,-0.6278540227692421,45.95055487006273,-0.6358872025567573,46.08416398258537,-4.488462105862765,41.99783154152957,-5.20086512229621,41.960915563502205,-0.6865415,44.50289
32,-0.6290192079098506,47.296010977279124,-0.6370068940570376,47.432371474926235,-4.520194080506675,43.26148943285309,-5.245385922860479,43.212907243532,-0.6935884,45.74413
33,-0.625311826849753,48.61584864035762,-0.6312642399888955,48.75818505118925,-4.535139917033738,44.51417984806542,-5.280026357478845,44.45609204135527,-0.6959569,46.97748
