frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
1,-0.037089146994890895,-0.10479658576804425,0.12286728883936456,-0.037089146994890895,-0.10479658576804425,0.12286728883936456,-0.029739350374367562,-1.332730288876245,0.4674437153144705,-0.029739350374367562,-1.332730288876245,0.4674437153144705
2,-0.03279293708080388,-0.13996296266160554,0.09495808333200717,-0.035370663029256094,-0.11886313652546879,0.1117036066364216,-0.17132016464373007,-0.752467628123678,0.13128593253706944,-0.08637167608211258,-1.1006252245752182,0.3329806022035101
3,-0.02969610037433741,-0.170160984394251,0.07124154017238503,-0.03299701581568577,-0.14120191479228342,0.09412457607976543,-0.08557933655626339,-0.4692362075594508,0.22529373020824175,-0.05191687694195607,-0.8610548529463738,0.3490463468729254
4,-0.02914353364323571,-0.1929952732684379,0.04856105133280167,-0.03189477934253474,-0.16526115981202644,0.07140357782662267,-0.4604173362486924,-1.3063012302187607,0.2722976290438279,-0.3585197686187608,-1.4523431419964372,0.3618989426084576
5,-0.025294037543681463,-0.2190738236717665,0.030143686347465642,-0.02749503410312069,-0.19688653290663732,0.04841770754252245,-0.32964287412451376,-1.0988395007368856,0.19741605151002978,-0.24812482002056852,-1.2156730301590268,0.2690971023617335
6,-0.021634440262912627,-0.24062520350529504,0.021231743924874053,-0.022663318054310246,-0.2271856468598974,0.03406857239640119,-0.27851667681028297,-0.9163318052838467,0.15701704269943478,-0.2030769940642806,-0.973297089730952,0.20628208161867878
7,-0.017407412300423784,-0.25344297691935636,0.015394566490128953,-0.016539703348546344,-0.2478184409686628,0.023329158293452622,-0.22649239358545947,-0.7059305603824194,0.12816060783472408,-0.1453309340987282,-0.6673422899795328,0.156030065024235
8,-0.007767834174224777,-0.28776546356526156,-0.0038891846074649997,-0.007154182701136649,-0.26726555123280643,0.01623953286600347,-0.35840843070216993,-1.3683116179270998,0.037392833220575725,-0.30689506931725075,-1.7277533703214276,0.09123791062247438
9,0.005445856573411881,-0.31557190108874156,-0.01627166688503521,0.007076475452438632,-0.28776732143015044,0.009065926669134448,-0.2342537222731873,-1.1433868269199674,0.11124469207536071,-0.13427965943584338,-1.101748982321379,0.13540856084661218
10,0.014562763891211231,-0.33638233872166495,-0.02247694573810412,0.013724365214589102,-0.30545987540212155,0.0033270417116392278,-0.25410861237283117,-1.2641617999927772,0.08220725263021364,-0.11804010976444218,-1.0310388214452362,0.15033629856420114
