timestamp,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
0.060716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000861,0.000362,0.000853,-0.000861,0.000362,0.000853
0.121433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000839,0.000285,0.000411,-0.000852,0.000331,0.000676
0.182149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001535,-0.000342,-0.001229,0.000575,-0.000054,-0.000361
0.242866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000883,0.000194,-0.000342,0.000246,0.000317,0.000175
0.303582,-0.001569,-0.004047,0.000000,-0.001569,-0.004047,0.000000,0.003504,-0.001699,-0.000191,0.002994,-0.001600,0.000222
0.364299,-0.001307,-0.003373,0.000000,-0.001255,-0.003238,0.000000,0.005668,-0.002921,-0.000165,0.005693,-0.003087,0.000171
0.425015,-0.001830,0.000896,0.000000,-0.001997,0.002712,0.000000,0.005886,-0.002653,-0.000523,0.005992,-0.002679,-0.000397
0.485732,-0.000387,-0.000284,0.000000,0.000423,0.000517,0.000000,0.006193,-0.003604,-0.002529,0.005052,-0.003402,-0.002955
0.546448,-0.000387,-0.000284,0.000000,0.000338,0.000413,0.000000,0.005738,-0.001897,-0.004408,0.003241,-0.000289,-0.005002
0.607165,-0.000387,-0.000284,0.000000,0.000271,0.000331,0.000000,0.004939,-0.001543,-0.003990,0.002732,-0.000055,-0.004318
0.667881,-0.000197,-0.001644,0.000000,0.000482,-0.001639,0.000000,0.003094,0.000591,-0.001347,-0.000612,0.003304,0.000710
0.728597,0.000923,0.001247,0.000000,0.000385,-0.001311,0.000000,-0.000119,0.003322,-0.000308,-0.002191,0.004613,0.002105
0.789314,0.003170,0.002696,0.000000,0.003453,0.000979,0.000000,-0.004360,0.006772,0.003211,-0.004392,0.006714,0.006604
0.850030,0.001821,-0.000885,0.000000,-0.000119,0.001072,0.000000,-0.007411,0.008595,0.004642,-0.006347,0.007713,0.006753
0.910747,0.001475,0.002205,0.004575,0.001441,0.003531,0.006405,-0.009704,0.012896,0.011007,-0.008030,0.010933,0.011675
0.971463,0.001475,0.002205,0.004575,0.001153,0.002825,0.005124,-0.007188,0.010639,0.015866,-0.003702,0.008019,0.013504
1.032180,0.002692,0.000745,0.004167,0.002626,0.000216,0.003528,-0.008564,0.011168,0.016806,-0.004749,0.007332,0.011803
1.092896,0.003694,0.001065,0.004167,0.003769,-0.001283,0.002823,-0.006649,0.009488,0.013947,-0.003915,0.006862,0.009605
1.153613,0.003694,0.001065,0.004167,0.003015,-0.001026,0.002258,-0.004922,0.007741,0.011790,-0.002416,0.005013,0.006202
1.214329,0.001448,-0.000384,0.004167,0.002412,-0.000821,0.001806,-0.007448,0.009337,0.008392,-0.008110,0.009269,0.005124
1.275046,0.003506,-0.000590,0.004167,0.001930,-0.000657,0.001445,-0.007694,0.009563,0.009909,-0.009665,0.010074,0.007692
1.335762,0.002408,-0.002500,-0.000408,0.001544,-0.000525,0.001156,-0.008145,0.007173,0.006059,-0.011315,0.009475,0.007036
1.396478,0.002408,-0.002500,-0.000408,0.001235,-0.000420,0.000925,-0.009453,0.008724,0.004706,-0.008162,0.009025,0.007899
1.457195,0.001192,-0.001040,0.000000,0.000988,-0.000336,0.000740,-0.007561,0.008098,0.005613,-0.005668,0.007259,0.008589
1.517911,0.000000,0.000000,0.000000,0.000790,-0.000269,0.000592,-0.009432,0.008243,0.007665,-0.007269,0.007007,0.009907
1.578628,0.000061,-0.002604,0.000000,0.000717,-0.003860,0.000474,-0.008827,0.008948,0.010346,-0.004253,0.006116,0.010196
1.639344,0.000061,-0.002604,0.000000,0.000574,-0.003088,0.000379,-0.004628,0.005001,0.008984,-0.003700,0.004625,0.006413
1.700061,0.000061,-0.002604,0.000000,0.000459,-0.002470,0.000303,-0.001853,0.003573,0.006469,-0.002253,0.004360,0.005202
1.760777,0.000061,-0.002604,0.000000,0.000367,-0.001976,0.000242,0.001816,0.002965,0.005551,-0.000248,0.004052,0.003759
1.821494,0.000061,-0.002604,0.000000,0.000294,-0.001581,0.000194,0.001176,0.001785,0.003249,-0.000204,0.003035,0.002055
1.882210,0.000061,-0.002604,0.000000,0.000235,-0.001265,0.000155,0.002360,0.000890,-0.000636,0.002356,0.001214,-0.001527
1.942927,0.000061,-0.002604,0.000000,0.000188,-0.001012,0.000124,0.004880,-0.000523,-0.004303,0.002676,0.000193,-0.003318
2.003643,0.004369,-0.000525,0.000000,0.006268,-0.001545,0.000099,0.003676,-0.001610,-0.006329,0.002019,-0.000856,-0.003221
2.064359,0.003047,0.000820,0.000000,0.003162,0.000648,0.000079,0.002478,-0.000217,-0.005764,-0.000359,0.000996,-0.003529
2.125076,0.003047,0.000820,0.000000,0.002530,0.000518,0.000064,0.004224,-0.001682,-0.008075,0.002863,-0.000594,-0.005987
2.185792,0.003047,0.000820,0.000000,0.002024,0.000415,0.000051,0.002848,-0.001951,-0.007612,0.001918,-0.000288,-0.004545
2.246509,0.003047,0.000820,0.000000,0.001619,0.000332,0.000041,0.001920,-0.001677,-0.006873,0.000231,-0.000053,-0.003554
2.307225,-0.000821,0.001204,0.000000,-0.004120,0.000802,0.000033,0.000647,-0.000777,-0.004981,0.000921,0.000003,-0.003365
2.367942,-0.000821,0.001204,0.000000,-0.003296,0.000642,0.000026,-0.000310,-0.000250,-0.003834,0.000189,-0.000037,-0.003181
2.428658,-0.005191,0.001729,0.000000,-0.002637,0.000513,0.000021,0.000003,0.000560,-0.003847,0.000466,0.000094,-0.003130
2.489375,-0.003868,0.000383,0.000000,-0.002109,0.000411,0.000017,0.001644,-0.000425,-0.003517,0.000696,0.000377,-0.002994
2.550091,-0.003868,0.000383,0.000000,-0.001688,0.000329,0.000013,0.000277,0.000198,-0.001607,0.001793,-0.000217,-0.002885
2.610808,-0.003868,0.000383,0.000000,-0.001350,0.000263,0.000011,0.001413,-0.000476,-0.002154,0.002654,-0.000930,-0.002830
2.671524,-0.003868,0.000383,0.000000,-0.001080,0.000210,0.000009,0.001836,-0.000478,-0.001950,0.001411,-0.000570,-0.001896
2.732240,0.000000,0.000000,0.000000,-0.000864,0.000168,0.000007,0.000919,-0.000768,-0.002347,0.000582,-0.000816,-0.002595
2.792957,0.002365,0.000201,0.000000,0.002620,0.000415,0.000005,0.001450,-0.000649,-0.002152,0.000661,-0.000525,-0.002293
2.853673,0.002365,0.000201,0.000000,0.002096,0.000332,0.000004,0.001672,-0.000368,-0.002145,0.001154,0.000095,-0.002409
2.914390,0.002365,0.000201,0.000000,0.001677,0.000266,0.000003,0.001853,-0.000749,-0.001928,0.001501,-0.000155,-0.002113
2.975106,0.002365,0.000201,0.000000,0.001341,0.000213,0.000003,0.000962,0.000530,-0.001201,0.001188,0.001148,-0.001162
3.035823,0.000311,0.001360,0.000000,-0.001803,0.001793,0.000002,-0.001271,0.002275,-0.000983,-0.000956,0.002605,-0.001147
3.096539,0.000311,0.001360,0.000000,-0.001442,0.001435,0.000002,0.000553,0.001536,-0.001378,0.001077,0.001224,-0.001103
3.157256,0.000311,0.001360,0.000000,-0.001154,0.001148,0.000001,0.001237,0.001396,-0.001487,0.001272,0.000423,-0.002112
3.217972,-0.002054,0.001160,0.000000,-0.000923,0.000918,0.000001,0.001049,0.001352,-0.001564,0.000949,0.000405,-0.002015
3.278689,-0.002054,0.001160,0.000000,-0.000738,0.000735,0.000001,0.002027,-0.000333,-0.001386,0.002756,-0.001520,-0.001938
3.339405,-0.002054,0.001160,0.000000,-0.000591,0.000588,0.000001,0.001905,-0.000054,-0.001467,0.002610,-0.001057,-0.001849
3.400121,-0.002054,0.001160,0.000000,-0.000473,0.000470,0.000001,0.001539,-0.000587,-0.001574,0.001564,-0.000320,-0.001101
3.460838,0.000000,0.000000,0.000000,-0.000378,0.000376,0.000000,0.002739,-0.001451,-0.000985,0.001025,0.000221,-0.000273
3.521554,0.000000,0.000000,0.000000,-0.000302,0.000301,0.000000,0.001773,-0.001187,-0.001195,0.001309,-0.000314,-0.000698
3.582271,0.000000,0.000000,0.000000,-0.000242,0.000241,0.000000,0.001919,-0.000836,-0.000580,0.001662,-0.000315,-0.000927
3.642987,0.000000,0.000000,0.000000,-0.000194,0.000193,0.000000,0.002197,-0.000967,-0.000465,0.001650,-0.000370,-0.000906
3.703704,0.000000,0.000000,0.000000,-0.000155,0.000154,0.000000,0.000834,0.000314,-0.000045,0.001409,-0.000345,-0.000463
3.764420,0.000000,0.000000,0.000000,-0.000124,0.000123,0.000000,0.000404,0.000455,0.000437,0.000930,0.000080,0.000006
3.825137,0.000000,0.000000,0.000000,-0.000099,0.000099,0.000000,0.000437,0.000272,0.000370,0.000266,0.000334,0.000289
3.885853,0.000000,0.000000,0.000000,-0.000079,0.000079,0.000000,0.000334,0.000147,0.000123,-0.000158,0.000569,0.000493
3.946570,0.000000,0.000000,0.000000,-0.000063,0.000063,0.000000,-0.000111,0.000408,0.000669,-0.000261,0.000330,0.000679
4.007286,0.000000,0.000000,0.000000,-0.000051,0.000050,0.000000,-0.001087,0.000928,0.001135,-0.000960,0.000928,0.000827
4.068002,0.000000,0.000000,0.000000,-0.000041,0.000040,0.000000,-0.001650,0.001302,0.001411,-0.001235,0.001148,0.000884
4.128719,0.000000,0.000000,0.000000,-0.000032,0.000032,0.000000,-0.001733,0.001320,0.001200,-0.001015,0.000895,0.000673
4.189435,0.000000,0.000000,0.000000,-0.000026,0.000026,0.000000,-0.001975,0.001314,0.001125,-0.001348,0.001062,0.000811
4.250152,0.000000,0.000000,0.000000,-0.000021,0.000021,0.000000,-0.001697,0.001163,0.001037,-0.001168,0.000909,0.000809
4.310868,0.000000,0.000000,0.000000,-0.000017,0.000017,0.000000,-0.001423,0.000958,0.001008,-0.000921,0.000742,0.000869
